lgdm:sourceTag	http://linkedgeodata.org/ontology/Bank/key/amenity/value/Bank
rdfs:subClassOf	http://linkedgeodata.org/ontology/Amenity
rdfs:label:eu	Banku
rdfs:label:sr-EL	Banka
rdfs:label:sl	Banka
rdfs:label:aln	Banka
rdfs:label:sk	Banka
rdfs:label:hr	Banka
rdfs:label:lv	Banka
rdfs:label:cs	Banka
rdfs:label:dsb	Banka
rdfs:label:hsb	Banka
rdfs:label:tr	Banka
rdfs:label:uk	Банк
rdfs:label:ru	Банк
rdfs:label:be-tarask	Банк
rdfs:label:ast	Bancu
rdfs:label:sr-EC	Банка
rdfs:label:rue	Банка
rdfs:label:mk	Банка
rdfs:label:lt	Bankas
rdfs:label:ja	銀行
rdfs:label:zh-Hant	銀行
rdfs:label:ka	ბანკი
rdfs:label:br	Ti-bank
rdfs:label:it	Banca
rdfs:label:ia	Banca
rdfs:label:fi	Pankki
rdfs:label:arz	مصرف
rdfs:label:ar	مصرف
rdfs:label:el	Τράπεζα
rdfs:label:fa	بانک
rdfs:label:ps	بانک
rdfs:label:fr	Banque
rdfs:label:ca	Banc
rdfs:label:zh-Hans	银行
rdfs:label:es	Banco
rdfs:label:gl	Banco
rdfs:label:pt-BR	Banco
rdfs:label:pt	Banco
rdfs:label:kn	ಬ್ಯಾಂಕ್
rdfs:label:et	Pank
rdfs:label:te	బ్యాంకు
rdfs:label:he	בנק
rdfs:label:vi	Ngân hàng
rdfs:label:bn	ব্যাংক
rdfs:label:da	Bank
rdfs:label:hu	Bank
rdfs:label:az	Bank
rdfs:label:de	Bank
rdfs:label:lb	Bank
rdfs:label:pl	Bank
rdfs:label:en-GB	Bank
rdfs:label:nds	Bank
rdfs:label:tl	Bangko
rdfs:label:nl	Bank
rdfs:label:ms	Bank
rdfs:label:fur	Bancje
rdfs:label:no	Bank
rdfs:label:sv	Bank
rdfs:label:af	Bank
rdfs:label:is	Bankinn
url	http://linkedgeodata.org/ontology/Bank
label	Bank
