lgdm:sourceTag	http://linkedgeodata.org/ontology/Bar/key/amenity/value/bar
rdfs:subClassOf	http://linkedgeodata.org/ontology/Amenity
rdfs:label:eu	Taberna
rdfs:label:lt	Baras
rdfs:label:et	Baar
rdfs:label:ka	ბარი
rdfs:label:hu	Bár
rdfs:label:ja	バー (立ち飲み屋)
rdfs:label:zh-Hans	酒吧
rdfs:label:af	Kroeg
rdfs:label:fi	Baari
rdfs:label:ar	حانة
rdfs:label:arz	حانة
rdfs:label:br	Tavarn
rdfs:label:ms	Kedai Arak
rdfs:label:tl	Tindahang Inuman ng Alak
rdfs:label:lv	Bārs
rdfs:label:vi	Quán Rượu
rdfs:label:sl	Bar
rdfs:label:pt-BR	Bar
rdfs:label:cs	Bar
rdfs:label:pl	Bar
rdfs:label:az	Bar
rdfs:label:sv	Bar
rdfs:label:no	Bar
rdfs:label:he	פאב
rdfs:label:fur	Bar
rdfs:label:nds	Bar
rdfs:label:sk	Bar
rdfs:label:aln	Bar
rdfs:label:en-GB	Bar
rdfs:label:fr	Bar
rdfs:label:tr	Bar
rdfs:label:ast	Bar
rdfs:label:gl	Bar
rdfs:label:de	Bar
rdfs:label:hr	Bar
rdfs:label:nl	Bar
rdfs:label:ku-Latn	Bar
rdfs:label:es	Bar
rdfs:label:da	Bar
rdfs:label:pt	Bar
rdfs:label:sr-EL	Bar
rdfs:label:ca	Bar
rdfs:label:it	Bar
rdfs:label:ia	Bar
rdfs:label:be-tarask	Бар
rdfs:label:sr-EC	Бар
rdfs:label:mk	Бар
rdfs:label:ru	Бар
rdfs:label:rue	Бар
rdfs:label:uk	Бар
rdfs:label:is	Barinn
rdfs:label:el	Μπαρ
rdfs:label:dsb	Bara
rdfs:label:hsb	Bara
url	http://linkedgeodata.org/ontology/Bar
label	Bar
