lgdm:sourceTag	http://linkedgeodata.org/ontology/Casino/key/leisure/value/casino
rdfs:subClassOf	http://linkedgeodata.org/ontology/Amenity
rdfs:label:eu	Kasino
rdfs:label:tr	Kasino
rdfs:label:no	Kasino
rdfs:label:be-tarask	Казіно
rdfs:label:ms	Kasino
rdfs:label:sv	Kasino
rdfs:label:fi	Kasino
rdfs:label:pt-BR	Cassino
rdfs:label:da	Kasino
rdfs:label:zh-Hans	赌场
rdfs:label:cs	Kasino
rdfs:label:nds	Kasino
rdfs:label:dsb	Kasino
rdfs:label:el	Καζίνο
rdfs:label:ka	სამორინე
rdfs:label:br	Kazino
rdfs:label:aln	Kazino
rdfs:label:lt	Kazino
rdfs:label:sl	Kazino
rdfs:label:hsb	Kazino
rdfs:label:lv	Kazino
rdfs:label:sr-EL	Kazino
rdfs:label:tl	Bahay-pasugalan
rdfs:label:he	קזינו
rdfs:label:bn	ক্যাসিনো
rdfs:label:ru	Казино
rdfs:label:uk	Казино
rdfs:label:sr-EC	Казино
rdfs:label:mk	Казино
rdfs:label:sk	Kasíno
rdfs:label:arz	نادى قمار
rdfs:label:hu	Kaszinó
rdfs:label:pl	Kasyno
rdfs:label:et	Kasiino
rdfs:label:ar	نادي قمار
rdfs:label:zh-Hant	賭場
rdfs:label:ja	賭場
rdfs:label:it	Casinò
rdfs:label:fur	Casinò
rdfs:label:hr	Casino
rdfs:label:pt	Casino
rdfs:label:gl	Casino
rdfs:label:ca	Casino
rdfs:label:en-GB	Casino
rdfs:label:af	Casino
rdfs:label:de	Casino
rdfs:label:ast	Casino
rdfs:label:fr	Casino
rdfs:label:es	Casino
rdfs:label:nl	Casino
rdfs:label:ia	Casino
rdfs:label:vi	Sòng bạc
url	http://linkedgeodata.org/ontology/Casino
label	Casino
