lgdm:sourceTag	http://linkedgeodata.org/ontology/Hotel/key/amenity/value/hotel
rdfs:subClassOf	http://linkedgeodata.org/ontology/Amenity
rdfs:label:be-tarask	Гатэль
rdfs:label:is	Hótel
rdfs:label:uk	Готель
rdfs:label:he	בית מלון
rdfs:label:ja	ホテル
rdfs:label:mk	Хотел
rdfs:label:sr-EC	Хотел
rdfs:label:tl	Otel
rdfs:label:lv	Viesnīca
rdfs:label:vi	Khách sạn
rdfs:label:te	హోటెల్
rdfs:label:el	Ξενοδοχείο
rdfs:label:ar	فندق
rdfs:label:arz	فندق
rdfs:label:et	Hotell
rdfs:label:no	Hotell
rdfs:label:sv	Hotell
rdfs:label:eu	Hotel
rdfs:label:it	Hotel
rdfs:label:sk	Hotel
rdfs:label:nds	Hotel
rdfs:label:aln	Hotel
rdfs:label:dsb	Hotel
rdfs:label:ms	Hotel
rdfs:label:cs	Hotel
rdfs:label:gl	Hotel
rdfs:label:sl	Hotel
rdfs:label:hsb	Hotel
rdfs:label:ca	Hotel
rdfs:label:ru	Гостиница
rdfs:label:ps	هوټل
rdfs:label:da	Hotel
rdfs:label:sr-EL	Hotel
rdfs:label:pt	Hotel
rdfs:label:tr	Hotel
rdfs:label:pt-BR	Hotel
rdfs:label:pl	Hotel
rdfs:label:hr	Hotel
rdfs:label:ku-Latn	Hotel
rdfs:label:en-GB	Hotel
rdfs:label:af	Hotel
rdfs:label:ast	Hotel
rdfs:label:rue	Готел
rdfs:label:lb	Hotel
rdfs:label:de	Hotel
rdfs:label:nl	Hotel
rdfs:label:es	Hotel
rdfs:label:sq	Hotel
rdfs:label:ia	Hotel
rdfs:label:fr	Hôtel
rdfs:label:fa	هتل
rdfs:label:ka	სასტუმრო
rdfs:label:fi	Hotelli
rdfs:label:br	Leti
rdfs:label:lt	Viešbutis
rdfs:label:ln	Ndáko na mobémbo
rdfs:label:hu	Szálloda
rdfs:label:zh-Hant	酒店
rdfs:label:zh-Hans	酒店
url	http://linkedgeodata.org/ontology/Hotel
label	Hotel
