lgdm:sourceTag	http://linkedgeodata.org/ontology/Museum/key/tourism/value/museum
rdfs:subClassOf	http://linkedgeodata.org/ontology/TourismThing
rdfs:label:mk	Музеј
rdfs:label:sr-EC	Музеј
rdfs:label:zh-Hans	博物馆
rdfs:label:ka	მუზეუმი
rdfs:label:fa	موزه
rdfs:label:et	muuseum
rdfs:label:da	Museum
rdfs:label:nds	Museum
rdfs:label:de	Museum
rdfs:label:nl	Museum
rdfs:label:no	Museum
rdfs:label:sv	Museum
rdfs:label:af	Museum
rdfs:label:en-GB	Museum
rdfs:label:zh-Hant	博物館
rdfs:label:ja	博物館
rdfs:label:lt	Muziejus
rdfs:label:br	Mirdi
rdfs:label:vi	Bảo tàng
rdfs:label:sq	Muze
rdfs:label:aln	Muze
rdfs:label:he	מוזיאון
rdfs:label:sr-EL	Muzej
rdfs:label:hsb	Muzej
rdfs:label:sl	Muzej
rdfs:label:hr	Muzej
rdfs:label:arz	متحف
rdfs:label:ar	متحف
rdfs:label:ast	Muséu
rdfs:label:ru	Музей
rdfs:label:uk	Музей
rdfs:label:fur	Museu
rdfs:label:pt	Museu
rdfs:label:myv	Музей
rdfs:label:rue	Музей
rdfs:label:ca	Museu
rdfs:label:pt-BR	Museu
rdfs:label:ps	موزيم
rdfs:label:fr	Musée
rdfs:label:lb	Musée
rdfs:label:el	Μουσείο
rdfs:label:pl	Muzeum
rdfs:label:dsb	Muzeum
rdfs:label:cs	Muzeum
rdfs:label:is	Safn
rdfs:label:tr	Müze
rdfs:label:sk	Múzeum
rdfs:label:be-tarask	Музэй
rdfs:label:hu	Múzeum
rdfs:label:lv	Muzejs
rdfs:label:eu	Museoa
rdfs:label:it	Museo
rdfs:label:ia	Museo
rdfs:label:fi	Museo
rdfs:label:es	Museo
rdfs:label:gl	Museo
rdfs:label:tl	Museo
url	http://linkedgeodata.org/ontology/Museum
label	Museum
