lgdm:sourceKey	office
lgdm:sourceTag	http://linkedgeodata.org/ontology/Office/key/amenity/value/office
rdfs:subClassOf	http://linkedgeodata.org/ontology/Amenity
rdfs:label:en-GB	Office
rdfs:label:fr	Bureau
rdfs:label:nds	Kontoor
rdfs:label:tr	Ofis
rdfs:label:vi	Văn phòng
rdfs:label:fi	Toimisto
rdfs:label:he	משרד
rdfs:label:af	Kantoor
rdfs:label:nl	Kantoor
rdfs:label:ka	ოფისი
rdfs:label:is	Skrifstofa
rdfs:label:eu	Bulego
rdfs:label:sl	Pisarne
rdfs:label:br	Burev
rdfs:label:sr-EC	Пословница
rdfs:label:cs	Úřad
rdfs:label:pt	Escritório
rdfs:label:pt-BR	Escritório
rdfs:label:ia	Officio
rdfs:label:it	Ufficio
rdfs:label:ms	Pejabat
rdfs:label:sk	Úrad
rdfs:label:lb	Büro
rdfs:label:de	Büro
rdfs:label:aln	Zyrë
rdfs:label:ru	Офис
rdfs:label:mk	Канцеларија
rdfs:label:uk	Офіс
rdfs:label:be-tarask	Офіс
rdfs:label:sv	Kontor
rdfs:label:no	Kontor
rdfs:label:da	Kontor
rdfs:label:te	కార్యాలయం
rdfs:label:el	Γραφείο
rdfs:label:zh-Hans	办公室
rdfs:label:pl	Biuro
rdfs:label:arz	مكتب
rdfs:label:hu	Iroda
rdfs:label:sr-EL	Poslovnica
rdfs:label:ar	مكتب
rdfs:label:hsb	Běrow
rdfs:label:ca	Oficina
rdfs:label:ast	Oficina
rdfs:label:lt	Biuras
rdfs:label:gl	Oficina
rdfs:label:es	Oficina
rdfs:label:dsb	Běrow
rdfs:label:ja	オフィス
rdfs:label:zh-Hant	辦公室
rdfs:label:fa	دفتر
rdfs:label:ps	دفتر
rdfs:label:hr	Kancelarija
rdfs:label:tl	Tanggapan
rdfs:label:fur	Ufizi
rdfs:label:lv	Birojs
url	http://linkedgeodata.org/ontology/Office
label	Office
