lgdm:sourceTag	http://linkedgeodata.org/ontology/Park/key/amenity/value/park
rdfs:subClassOf	http://linkedgeodata.org/ontology/Leisure
rdfs:label:ka	პარკი
rdfs:label:it	Parco
rdfs:label:ia	Parco
rdfs:label:lt	Parkas
rdfs:label:ru	Парк
rdfs:label:be-tarask	Парк
rdfs:label:uk	Парк
rdfs:label:rue	Парк
rdfs:label:mk	Парк
rdfs:label:sr-EC	Парк
rdfs:label:myv	Парк
rdfs:label:lv	Parks
rdfs:label:fur	Parc
rdfs:label:zh-Hans	公园
rdfs:label:fr	Parc
rdfs:label:ca	Parc
rdfs:label:et	Park
rdfs:label:eu	Parke
rdfs:label:bn	উদ্যান
rdfs:label:tl	Liwasan
rdfs:label:he	פארק
rdfs:label:te	పార్కు
rdfs:label:el	Πάρκο
rdfs:label:ku-Latn	Park
rdfs:label:nl	Park
rdfs:label:hr	Park
rdfs:label:de	Park
rdfs:label:ps	پارک
rdfs:label:fa	پارک
rdfs:label:lb	Park
rdfs:label:pl	Park
rdfs:label:sl	Park
rdfs:label:tr	Park
rdfs:label:sr-EL	Park
rdfs:label:arz	منتزه
rdfs:label:hsb	Park
rdfs:label:hu	Park
rdfs:label:da	Park
rdfs:label:dsb	Park
rdfs:label:no	Park
rdfs:label:sv	Park
rdfs:label:ar	منتزه
rdfs:label:nds	Park
rdfs:label:sk	Park
rdfs:label:fi	Puisto
rdfs:label:aln	Park
rdfs:label:en-GB	Park
rdfs:label:cs	Park
rdfs:label:vi	Công viên
rdfs:label:br	Park
rdfs:label:af	Park
rdfs:label:es	Parque
rdfs:label:pt-BR	Parque
rdfs:label:ast	Parque
rdfs:label:pt	Parque
rdfs:label:gl	Parque
rdfs:label:ms	Taman
rdfs:label:ja	公園
url	http://linkedgeodata.org/ontology/Park
label	Park
