lgdm:sourceTag	http://linkedgeodata.org/ontology/Sauna/key/leisure/value/sauna
rdfs:subClassOf	http://linkedgeodata.org/ontology/Leisure
rdfs:label:arz	حمّام بخارى حار
rdfs:label:aln	Saunë
rdfs:label:sv	Bastu
rdfs:label:hu	Szauna
rdfs:label:tl	Silid-suuban
rdfs:label:ka	საუნა
rdfs:label:ar	حمّام بخاري حار
rdfs:label:br	Saona
rdfs:label:zh-Hant	桑拿
rdfs:label:zh-Hans	桑拿
rdfs:label:sl	Savna
rdfs:label:et	Saun
rdfs:label:he	סאונה
rdfs:label:ca	Sauna
rdfs:label:lb	Sauna
rdfs:label:cs	Sauna
rdfs:label:lv	Sauna
rdfs:label:lt	Sauna
rdfs:label:af	Sauna
rdfs:label:no	Sauna
rdfs:label:da	Sauna
rdfs:label:hr	Sauna
rdfs:label:nl	Sauna
rdfs:label:es	Sauna
rdfs:label:ms	Sauna
rdfs:label:pt-BR	Sauna
rdfs:label:en-GB	Sauna
rdfs:label:pt	Sauna
rdfs:label:eu	Sauna
rdfs:label:sk	Sauna
rdfs:label:ast	Sauna
rdfs:label:de	Sauna
rdfs:label:ia	Sauna
rdfs:label:gl	Sauna
rdfs:label:fi	Sauna
rdfs:label:sr-EL	Sauna
rdfs:label:it	Sauna
rdfs:label:fr	Sauna
rdfs:label:pl	Sauna
rdfs:label:nds	Sauna
rdfs:label:hsb	Sawna
rdfs:label:fur	Saune
rdfs:label:dsb	Sawna
rdfs:label:vi	Nhà Tắm hơi
rdfs:label:myv	Баня
rdfs:label:be-tarask	Лазьня
rdfs:label:tr	Hamam / Sauna
rdfs:label:el	Σάουνα
rdfs:label:ru	Сауна
rdfs:label:sr-EC	Сауна
rdfs:label:mk	Сауна
rdfs:label:uk	Сауна
rdfs:label:ja	サウナ
rdfs:label:is	Gufubaðið
url	http://linkedgeodata.org/ontology/Sauna
label	Sauna
