lgdm:sourceKey	shop
lgdm:sourceTag	http://linkedgeodata.org/ontology/Shop/key/amenity/value/shop
rdfs:subClassOf	http://linkedgeodata.org/ontology/Amenity
rdfs:label:be-tarask	Крама
rdfs:label:cs	Obchod
rdfs:label:sk	Obchod
rdfs:label:sr-EL	Prodavnica
rdfs:label:fi	Kauppa
rdfs:label:ps	هټۍ
rdfs:label:is	Verslunin
rdfs:label:et	Kauplus
rdfs:label:lt	Parduotuvė
rdfs:label:nl	Winkel
rdfs:label:af	Winkel
rdfs:label:nds	Laden
rdfs:label:tl	Tindahan
rdfs:label:ka	მაღაზია
rdfs:label:pl	Sklep
rdfs:label:it	Negozio
rdfs:label:mk	Дуќан
rdfs:label:en-GB	Shop
rdfs:label:pt	Loja
rdfs:label:pt-BR	Loja
rdfs:label:hsb	Wobchod
rdfs:label:ia	Boteca
rdfs:label:sl	Trgovina
rdfs:label:hr	Trgovina
rdfs:label:ru	Магазин
rdfs:label:uk	Магазин
rdfs:label:fur	Buteghe
rdfs:label:fr	Magasin
rdfs:label:zh-Hans	商店
rdfs:label:sr-EC	Продавница
rdfs:label:br	Stal
rdfs:label:tr	Dükkan
rdfs:label:he	חנות
rdfs:label:ja	店舗
rdfs:label:da	Forretning
rdfs:label:dsb	Pśekupnica
rdfs:label:arz	متجر/دكان/حانوت
rdfs:label:ar	متجر/دكان/حانوت
rdfs:label:vi	Tiệm
rdfs:label:de	Geschäft
rdfs:label:lb	Geschäft
rdfs:label:fa	فروشگاه
rdfs:label:es	Tienda
rdfs:label:ast	Tienda
rdfs:label:aln	Shitore
rdfs:label:sv	Affär
rdfs:label:ms	Kedai
rdfs:label:gl	Tenda
rdfs:label:ca	Botiga
rdfs:label:el	Κατάστημα
rdfs:label:eu	Denda
rdfs:label:hu	Bolt
rdfs:label:no	Butikk
rdfs:label:lv	Veikals
url	http://linkedgeodata.org/ontology/Shop
label	Shop
